Name,Categories,Cuisine Types,Nationalities,Rating,Address,Res_Latitude,Res_Longitude,Reviews,Distance,Phone,Closed,Price
Jerusalem Restaurant,Middle Eastern,,Middle Eastern,4.0,"955 Eglinton Avenue W, York",43.70001,-79.42889,98,1262.9451386503163,+14167836494,False,$$
Hotel Gelato,"Desserts, Ice Cream & Frozen Yogurt, Cafes","Desserts, Cafes",,4.0,"532 Eglinton Avenue W, Toronto",43.70357,-79.41432,69,1693.690078639026,+14169322663,False,$$
Opus Restaurant,"Wine Bars, Modern European",Wine Bars,Modern European,4.0,"37 Prince Arthur Avenue, Toronto",43.66921,-79.3972299,75,5475.016166811964,+14169213105,False,$$$$
Khau Gully,Indian,,Indian,4.0,"1991 Yonge Street, Toronto",43.70055,-79.39673,100,3109.2468699527017,N/A,False,$$
The Abbot on Eglinton,Gastropubs,Gastropubs,,4.0,"508 Eglinton Avenue W, Toronto",43.703647,-79.4135246,41,1748.6215123298734,+14164878350,False,$$
Marron Bistro,"Steakhouses, Kosher, Bistros",Steakhouses,,4.5,"948 Eglinton Avenue W, Toronto",43.7005399,-79.4286599,14,1243.7787406321656,+14167840128,False,$$$
The Queen And Beaver Public House,"Pubs, British",Pubs,British,4.0,"35 Elm Street, Toronto",43.65734,-79.38334,413,90.21647331599905,+16473472712,False,$$
Sansotei Ramen,"Ramen, Noodles",,,4.0,"179 Dundas Street W, Toronto",43.655,-79.38643,944,277.38289473290223,+16477483833,False,$$
Adega Restaurante,"Portuguese, Spanish",,,4.0,"33 Elm St, Toronto",43.65732,-79.38323,162,94.68032228392181,+14169774338,False,$$$
Katsuya,"Japanese, Asian Fusion",,"Japanese, Asian Fusion",4.5,"66 Gerrard Street E, Toronto",43.65995,-79.37882,503,557.4535446950142,+14165917756,False,$$
Konjiki Ramen Downtown,Ramen,,,4.0,"41 Elm Street, Toronto",43.65729,-79.38358,116,65.55615224249257,+14165196794,False,$$
Koh Lipe,Thai,,Thai,4.0,"35 Baldwin Street, Toronto",43.65586,-79.39347,279,745.7056157170299,+14165999988,False,$$
Blaze Pizza,"Pizza, Salad, Fast Food","Pizza, Fast Food",,4.5,"10 Dundas St. East, Toronto",43.6565313336776,-79.3800427473602,586,344.6041511887534,+16479331028,False,$$
Mogouyan Hand-Pulled Noodles,"Noodles, Chinese",,Chinese,4.5,"124 Dundas St W, Toronto",43.65573,-79.38449,78,139.558069920415,N/A,False,$$
Barberian's Steak House,Steakhouses,Steakhouses,,4.0,"7 Elm Street, Toronto",43.6576,-79.38212,321,186.52891522539147,+14165970335,False,$$$$
Cafe Oro Di Napoli,"Pizza, Italian",Pizza,Italian,4.5,"75 Jarvis Street, Toronto",43.6514257145518,-79.3721591972351,103,1152.5270161574545,+14163157979,False,$$
Ikkousha Ramen,Ramen,,,4.5,"249 Queen Street W, Toronto",43.65024,-79.38873,314,826.0426621195716,+14169012249,False,$$
Carisma,Italian,,Italian,4.0,"15 Toronto Street, Toronto",43.65032,-79.37596,202,998.9658423114648,+14168647373,False,$$$
Seven Lives Tacos y Mariscos,Mexican,,Mexican,4.5,"72 Kensington Avenue, Toronto",43.6544903,-79.4008299,1489,1358.2075567299469,+14163934636,False,$
Kōjin,"Canadian (New), Wine Bars, Cocktail Bars","Wine Bars, Cocktail Bars",Canadian (New),4.0,"190 University Ave, Toronto",43.64933018157421,-79.38639829999917,109,863.0885628004334,+16472538000,False,$$$
KINTON RAMEN CHURCH,"Ramen, Noodles",,,4.0,"396 Church Street, Toronto",43.6603113,-79.3789004,225,569.1521072123988,+16473488555,False,$$
Kiin,Thai,,Thai,4.0,"326 Adelaide Street W, Toronto",43.647622,-79.3921,221,1211.8615192474645,+16474905040,False,$$$
Storm Crow Manor,"Bars, American",Bars,American,4.0,"580 Church Street, Toronto",43.6667489584503,-79.3816431239247,152,1111.2101009232815,+14163672769,False,$$
Donatello Restaurant,"Italian, Seafood, Wine Bars","Seafood, Wine Bars",Italian,4.0,"37 Elm Street, Toronto",43.657425,-79.383474,187,84.84010306921047,+14165955001,False,$$$
Zakkushi On Carlton,"Japanese, Tapas/Small Plates, Barbeque",Barbeque,Japanese,4.0,"193 Carlton Street, Toronto",43.66343,-79.37062,329,1026.3308100671777,+16473529455,False,$$$
W Burger Bar,"Burgers, Bars","Burgers, Bars",,3.5,"10 College Street, Toronto",43.6614620733212,-79.3836429192963,306,45.190363282901444,+14169612227,False,$$
Gurume Sushi,Sushi Bars,Sushi Bars,,5.0,"45 Carlton Street, Toronto",43.6613914599157,-79.38099526635763,56,168.28050798421066,+14169018333,False,N/A
Hair of the Dog,"Pubs, Comfort Food, Breakfast & Brunch",Pubs,,4.0,"425 Church Street, Toronto",43.662946823805,-79.379592870241,371,329.37237372203805,+14169642708,False,$$
The House On Parliament,"British, Gastropubs",Gastropubs,British,4.0,"454 Parliament Street, Toronto",43.66359,-79.36794,318,1244.5386269774333,+14169254074,False,$$
Yoyo Japanese Restaurant,Japanese,,Japanese,4.5,"348 Guelph Street, Georgetown",43.6484851,-79.8827046,40,1849.375770748143,+19058777846,False,$$
Shoeless Joe's Sports Grill - Georgetown,"Sports Bars, Burgers, Beer Bar","Sports Bars, Burgers, Beer Bar",,4.0,"367 Guelph St, Georgetown",43.64941,-79.87969,13,1622.9450374431237,+19058733157,False,N/A
BK Bar And Grill,"Indian, Bars",Bars,Indian,5.0,"525 Guelph Street, Norval",43.6470751,-79.8585141,2,161.10311213923848,N/A,False,$$
Epic Pita,"Mediterranean, Halal",,Mediterranean,4.0,"15 Ashby Field Road, Brampton",43.6726155,-79.8216226,26,4268.731818757963,+19054523838,False,$
Lily Thai Cuisine,Thai,,Thai,3.5,"15 Ashby Field Road, Brampton",43.6724519762264,-79.8211773857474,64,4282.208867286649,+19058741688,False,$$
Symposium Cafe Restaurant - Georgetown,"Breakfast & Brunch, Desserts, Diners",Desserts,,3.0,"235 Guelph St, Georgetown",43.65041168288868,-79.89632884321948,33,2965.4963976638173,+19058772222,False,$$
Hakka Place,Hakka,,,4.0,"42-360 Guelph Street, Georgetown",43.6484118,-79.8813955,8,1743.9911785996167,+19058734787,False,N/A
Louanne's Famous Fries,"Burgers, Hot Dogs, Sandwiches","Burgers, Sandwiches",,4.5,"9989 Trafalgar Road, Georgetown",43.6077591490397,-79.8937876735217,12,5056.082547054021,+19057031201,False,$
A&W,"Fast Food, Burgers","Fast Food, Burgers",,4.0,"317 Guelph Street, Georgetown",43.649923417358934,-79.88782322357775,4,2282.1575555287122,+19057021227,False,$
Mangia Bene,"Food Trucks, Italian",,Italian,5.0,"375 Guelph Street, Halton Hills",43.6493904172152,-79.8793209716678,1,1600.6299734599772,+14169087209,False,N/A
Kyoto Sushi,Japanese,,Japanese,3.0,"6 Mountainview Road S, Georgetown",43.6494941711426,-79.903434753418,28,3518.392809426579,+19058779791,False,$$
Sunset Grill,"Breakfast & Brunch, Diners, Canadian (New)",,Canadian (New),3.5,"1-9525 Mississauga Rd, Brampton",43.6583651498073,-79.8168972507119,9,3724.562314675247,+19054566400,False,$$
Bibab Express,"Sushi Bars, Korean",Sushi Bars,Korean,4.5,"280 Guelph Street, Halton Hills",43.64851257611649,-79.89927101563246,2,3174.3937499631897,+19057022562,False,N/A
Da Chef's Padella,Italian,,Italian,2.5,"525 Guelph Street, Halton Hills",43.6471212872362,-79.8583903364007,4,171.88170608843822,+19058777577,False,N/A
Wild Wing,"Burgers, American, Sandwiches","Burgers, Sandwiches",American,3.0,"371 Mountainview Road S, Georgetown",43.6312251718321,-79.875129193948,9,2053.3078933109155,+19058779911,False,$$
Angel's Diner,Diners,,,3.5,"220 Guelph Street, Georgetown",43.6499252319336,-79.9038925170898,25,3560.443932520959,+19058770289,False,$$
A&W,"Burgers, Fast Food","Burgers, Fast Food",,4.5,"10625 Mississauga Road & Sandalwood Parkway, Brampton",43.6802348136246,-79.84466429999999,3,3992.785270124611,+19058467917,False,N/A
Popeyes Louisiana Kitchen,"Fast Food, Chicken Wings",Fast Food,,4.0,"17 Worthington Avenue, Brampton",43.681729,-79.815111,7,5360.4040333670555,+19058403500,False,$$
Southpaw Coffee Bar and Cafe,"Cafes, Pizza","Cafes, Pizza",,4.0,"221 Miller Drive, Georgetown",43.63071,-79.9003,7,3667.603700728766,+19058774664,False,$$
Traditional Taste Bakery & Cafe,"Bakeries, Cafes, Breakfast & Brunch",Cafes,,4.0,"211 Guelph Street, Georgetown",43.65049,-79.90088,3,3340.95508282612,+19057020081,False,N/A
The Barber Towne Pub,"Pubs, Chicken Wings, Salad",Pubs,,2.5,"360 Guelph Street, Georgetown",43.6490771,-79.8809032,3,1717.6568198783516,+19058732188,False,N/A
G T Dragon Chinese Restaurant,Chinese,,Chinese,2.0,"369 Mountainview Road S, Georgetown",43.6317271678652,-79.8757832441803,18,2041.0992132722406,+19057028688,False,N/A
Kelseys Original Roadhouse,"Comfort Food, Bars, Canadian (New)",Bars,Canadian (New),2.5,"256 Guelph St, Georgetown",43.6492099,-79.8955299,10,2910.513045947187,+19058777150,False,$$
Kung Pao Wok,Asian Fusion,,Asian Fusion,5.0,"27 Mountainview Road S, Halton Hills",43.648526,-79.89938,2,3183.257888353268,N/A,False,N/A
Georgetown Thai Gourmet,Thai,,Thai,3.5,"232A Guelph Street, Halton Hills",43.65,-79.90309,5,3457.777953094268,+19058732754,False,N/A
Mary Brown's,"Chicken Shop, Chicken Wings",,,5.0,"306 Guelph Street, Georgetown",43.64935184409932,-79.89491634070873,1,2835.9069332219465,+19058738282,False,N/A
Swiss Chalet Rotisserie & Grill,"Comfort Food, American",,American,1.5,"320 Guelph St, Georgetown",43.64908,-79.89057,13,2483.8995491490814,+19058736392,False,$$$
Mega Burger & More,Burgers,Burgers,,4.0,"10 Mountain View Road S, Georgetown",43.6492606,-79.9025172,2,3445.3386530394205,+19058775177,False,N/A
SMASH,"Burgers, Halal",Burgers,,5.0,"3 Sidford Road, Brampton",43.67576752047392,-79.82271380254468,1,4458.630725826036,+19054951414,False,N/A
Boston Pizza,Pizza,Pizza,,2.0,"319 Guelph Street, Georgetown",43.64983656339393,-79.88722085890505,11,2232.7416983037274,+19058778005,False,$$$$
Food Cabbie,"Food Trucks, American",,American,4.0,", Toronto",43.653247833252,-79.3751907348633,5,39042.75136917133,+16472272628,False,$
Pizza Hut,"Pizza, Chicken Wings, Fast Food","Pizza, Fast Food",,3.5,"378 Mountainview Road South, Georgetown",43.629922826599,-79.8774478710998,3,2281.5787463148536,+19058770100,False,N/A
Harvey's & Swiss Chalet Combo,"Burgers, Fast Food, American","Burgers, Fast Food",American,3.0,"320 Guelph St, Georgetown",43.64908,-79.89057,3,2483.8995491490814,+19058736392,False,N/A
Frisco Fries,"Fast Food, Chicken Wings",Fast Food,,4.0,"280 Guelph Street, Halton Hills",43.6497315,-79.8955521,2,2797.125609477738,+19058733119,False,N/A
Subway,"Sandwiches, Fast Food","Sandwiches, Fast Food",,5.0,"17 Worthington Avenue, Brampton",43.681564927985,-79.8151453127105,1,5345.066241600209,+19058404355,False,N/A
Topper's Pizza,"Pizza, Chicken Wings, Fast Food","Pizza, Fast Food",,2.5,"5 Mountainview Road N, Halton Hills",43.651114,-79.903425,6,3545.270169115565,+18664546644,False,$$
Guru Sweets & Restaurant,Indian,,Indian,2.0,"15 Fandor Way, Brampton",43.6903806,-79.8155286,15,6086.397890130881,+19058402200,False,$$
Pita Pit,Sandwiches,Sandwiches,,1.5,"235 Guelph Street, Georgetown",43.6505014,-79.8969105,2,3013.2942208929303,+19058738555,False,$$
Stacked Pancake & Breakfast House,"Breakfast & Brunch, Burgers, Sandwiches","Burgers, Sandwiches",,2.0,"280 Guelph Street, Georgetown",43.6490798,-79.8944775,1,2797.125609477738,+19057025500,False,N/A
Pizza Pizza,Pizza,Pizza,,2.5,"216 Guelph Street, Georgetown",43.650295,-79.9042463,8,3593.8307403900167,+14169671111,False,$
Osmow's,Mediterranean,,Mediterranean,2.0,"5 Mountainview Road N, Georgetown",43.65106,-79.90307,6,3545.270169115565,+19058733100,False,N/A
Biryani Culture,"Indian, Pakistani, Halal",,Indian,3.5,"3 Sidford Road, Brampton",43.67579,-79.82268,5,4463.97409292157,+16475182619,False,N/A
Domino's Pizza,"Pizza, Chicken Wings, Fast Food","Pizza, Fast Food",,3.5,"324 Guelph Street, Georgetown",43.6487459,-79.8901051111951,2,2443.417384045631,+19057028800,False,$$
Shaf's Pizza And Broast,Pizza,Pizza,,3.0,"15 Ashby Field Road, Brampton",43.6721268,-79.8212509,9,4316.8664293602205,+19054509595,False,$$
A&W,"Fast Food, Burgers","Fast Food, Burgers",,1.5,"375 Mountainview Road South, Georgetown",43.630599,-79.87580378,2,2141.5723622387454,+19058739982,False,N/A
Quesada Burritos & Tacos,Mexican,,Mexican,3.0,"5 Mountainview North, Georgetown",43.65106,-79.90307,2,3545.317798937782,+19058731212,False,N/A
Wild Wing,"Burgers, Fast Food, Chicken Wings","Burgers, Fast Food",,1.5,"17 Worthington Avenue, Brampton",43.6819,-79.81549,17,5350.841196018919,+19058460666,False,N/A
McDonald's,"Fast Food, Burgers, Coffee & Tea","Fast Food, Burgers, Coffee & Tea",,2.0,"9521 Mississauga Road, Brampton",43.6575494758306,-79.8155741035271,3,3792.3427610904937,+19054568833,False,$
Little Ceasars,Pizza,Pizza,,2.5,"211 Guelph Street, Georgetown",43.650577,-79.900919,2,3333.1507664521264,+19058739197,False,N/A
McDonald's,"Fast Food, Burgers, Coffee & Tea","Fast Food, Burgers, Coffee & Tea",,2.0,"9485 Mississauga Road, Brampton",43.6575460493077,-79.8155712987766,4,3792.427191131219,+19058748139,False,N/A
Grey Gardens,"Wine Bars, Canadian (New)",Wine Bars,Canadian (New),4.5,"199 Augusta Avenue, Toronto",43.6537999,-79.40143,131,2656.440969475344,+16473511552,False,$$$
Korean Village Restaurant,Korean,,Korean,4.0,"628 Bloor Street W, Toronto",43.66461,-79.41444,431,1066.9666285062153,+14165360290,False,$$
Good Fork,"Breakfast & Brunch, Canadian (New)",,Canadian (New),4.0,"1550 Dundas Street W, Toronto",43.649878146252064,-79.43341616349892,397,3215.372500760141,+16473525955,False,$$
Pizzeria Defina,"Pizza, Italian",Pizza,Italian,4.0,"321 Roncesvalles Ave, Toronto",43.64875,-79.44955,151,3187.566932587344,+14165344414,False,$$
Stelvio,Italian,,Italian,4.0,"791 Dundas Street W, Toronto",43.65168,-79.40769,126,4210.023651766285,N/A,False,$$
Islas Filipino BBQ and Bar,"Filipino, Bars",Bars,Filipino,4.5,"1690 Queen Street W, Toronto",43.6393,-79.4446,88,4234.54201558342,+14165330777,False,N/A
Marcello’s pizzeria,"Pizza, Italian",Pizza,Italian,4.0,"1163 Saint Clair Avenue W, Toronto",43.67783,-79.4425399,103,304.95841248993145,+14166566159,False,$$
Giulietta,Italian,,Italian,4.0,"972 College Street, Toronto",43.65353,-79.42764,137,3036.4920760384257,+14169640606,False,$$$
Hank Daddy's Barbecue,"Southern, Barbeque, Sandwiches","Barbeque, Sandwiches",,4.0,"7777 Keele Street, Vaughan",43.80123417831632,-79.4987816,156,3443.85107812612,+19054174545,False,$$
Banh Mi Boys,Sandwiches,Sandwiches,,4.0,"95 The Pond Road, Toronto",43.7702448158187,-79.500580268481,18,354.25685532371136,+16472455508,False,N/A
The Islands Caribbean Restaurant,Caribbean,,Caribbean,4.0,"4700 Keele Street, Toronto",43.7738431817756,-79.5027602279867,21,403.150181900484,+14165141818,False,$
Panino Cappuccino,"Italian, Venues & Event Spaces, Pizza",Pizza,Italian,4.5,"3218 Weston Road, Toronto",43.73850965,-79.54001256,26,4543.656361683718,+14167414646,False,$$
Bosphorus Turkish Cuisine,"Turkish, Salad, Juice Bars & Smoothies",Juice Bars & Smoothies,,4.5,"17-4205 Keele Street, North York",43.77359510007635,-79.49208647258483,11,1086.9659606548164,+16473488000,False,N/A
Anna Maria Trattoria,Italian,,Italian,4.0,"2900 Langstaff Road, Concord",43.8135842983034,-79.5254172384739,68,5055.0768461311845,+19055320004,False,$$$
Aroma Espresso Bar,Cafes,Cafes,,3.5,"105 The Pond Road, Toronto",43.769854337574,-79.5019328828469,15,256.8473722085522,+16472455504,False,N/A
PHO 128,"Vietnamese, Noodles",,Vietnamese,4.5,"207 Edgeley Boulevard, Concord",43.79786,-79.5321,54,3751.9234981407544,+19056603354,False,$$
Pita Golden Pocket,"Middle Eastern, Falafel",,Middle Eastern,4.5,"2104 Highway 7 W, Vaughan",43.802186,-79.495121,108,3601.5022145111548,+19055320405,False,$
La Luce Ristorante,"Italian, Seafood",Seafood,Italian,4.0,"4377 Steeles Avenue W, Toronto",43.77315,-79.53146,20,2128.721293941893,+14166618989,False,$$
Break Room,"Burgers, Lounges, Arcades",Burgers,,2.5,"York Student Centre, Toronto",43.7740842365324,-79.5023810863495,33,440.8801688644838,+14167365606,False,$$
Ann's Congee,Chinese,,Chinese,4.0,"1102 Centre Street, Vaughan",43.8087795251032,-79.4616110200074,103,5490.667713067171,+19058895948,False,$$
Pita Pit,Sandwiches,Sandwiches,,4.5,"4205 Keele Street, North York",43.77384070064933,-79.49213050464711,11,1092.3410176745583,+14166617482,False,$
Centre Street Deli,Delis,,,4.0,"1136 Centre Street, Thornhill",43.8092185935154,-79.4630439086114,145,5456.838363554688,+19057318037,False,$$
Shopsy's Sports Grill,"Delis, Burgers, Sandwiches","Burgers, Sandwiches",,2.5,"4700 Keele Street, Toronto",43.7740782040504,-79.5023309079555,28,442.20259809038185,+14167364884,False,$$
Ciao Roma,"Italian, Pizza",Pizza,Italian,4.0,"28 Roytech Road, Vaughan",43.8038292,-79.5497971,67,5161.119764160063,+19052642121,False,$$
Malado Sushi,"Japanese, Korean, Sushi Bars",Sushi Bars,"Japanese, Korean",4.0,"2437 Finch Avenue W, Toronto",43.749944077310744,-79.5492041852501,53,4229.6616374254245,+14167419728,False,$$
Creole Jamaican Kitchen + Bar,"Caribbean, Bars",Bars,Caribbean,4.0,"7887 Weston road, Woodbridge",43.7922,-79.54733,35,4162.504372860018,+19058561555,False,N/A
Beijing Sung,"Korean, Chinese",,"Korean, Chinese",4.0,"2150 Steeles Avenue W, Vaughan",43.78302,-79.49127,45,1740.3305381804644,+19056601352,False,N/A
168 Sushi Asian Buffet,"Buffets, Asian Fusion, Sushi Bars",Sushi Bars,Asian Fusion,3.5,"1520 Steeles Avenue W, Vaughan",43.78738,-79.471494,307,3272.4276335005165,+19057601680,False,$$
Osmow's,Mediterranean,,Mediterranean,3.0,"4205 Keele Street, North York",43.77361,-79.4921,25,1092.0613169099452,+12892160113,False,$$
Basil Box,"Vietnamese, Thai, Gluten-Free",,"Vietnamese, Thai",4.0,"105 The Pond Road, Toronto",43.76997,-79.50187,7,257.92930352107385,+14379985000,False,N/A
Moxies,"Canadian (New), Steakhouses, Lounges",Steakhouses,Canadian (New),3.5,"30 Colossus Dr, Vaughan",43.7871508901057,-79.5434074446141,88,3594.0350494224517,+19052658090,False,$$
Pho Real,Vietnamese,,Vietnamese,4.0,"26-8099 Weston Rd, Vaughan",43.798134,-79.5493127,161,4696.401967816485,+19058518989,False,$$
LIMITLESS Bar & Grill,"Barbeque, Sports Bars, Asian Fusion","Barbeque, Sports Bars",Asian Fusion,4.0,"1450 Centre Street, Thornhill",43.80663,-79.47308,32,4756.617889022336,+19055975252,False,N/A
Aldo's Restaurant Peruvian Food,"Peruvian, Buffets",,Peruvian,4.0,"750 Oakdale Road, Toronto",43.7515877875937,-79.5266440138221,12,2737.4206939248693,+14167415914,False,N/A
Bun Bo Hue,Vietnamese,,Vietnamese,4.0,"2385 Finch Ave W, North York",43.75126,-79.54368,76,3773.796591636109,+14167477336,False,$
Mi Ne Japanese Restaurant,"Japanese, Sushi Bars",Sushi Bars,Japanese,4.0,"10815 Yonge Street, Richmond Hill",43.8914199,-79.4412,303,2286.98875144993,+19058836616,False,$$
Aneal's Taste of the Islands,Caribbean,,Caribbean,4.5,"10220 Yonge Street, Richmond Hill",43.876637000562305,-79.43870005767327,166,3086.0481044462026,+19052377186,False,$$
Oyaji Sushi,"Japanese, Korean",,"Japanese, Korean",4.0,"10341 Yonge Street, Richmond Hill",43.8798103,-79.4384232,138,2916.114262828842,+19052376272,False,$$
Bueokae Korean Restaurant - Love's Kitchen,Korean,,Korean,4.5,"10737 Yonge St, Richmond Hill",43.89038,-79.44035,207,2365.028245505348,+19052370737,False,$$
Joe's Hamburgers,"Burgers, Fast Food, Mediterranean","Burgers, Fast Food",Mediterranean,4.0,"10825 Yonge Street, Richmond Hill",43.89163855881204,-79.44144233146434,129,2263.3009775398173,+19058844846,False,$$
Mitsui Sushi,"Japanese, Sushi Bars, Bubble Tea",Sushi Bars,Japanese,3.5,"10815 Bathurst Street, Richmond Hill",43.88508,-79.46746,53,935.4499382615303,+19058841188,False,$$
Pho Tai Bac,"Vietnamese, Soup",,Vietnamese,4.0,"9555 Yonge Street, Richmond Hill",43.8598981277762,-79.4338684156537,226,4680.998689436714,+19052377228,False,$$
Cotolet Premium Cutlet,Japanese,,Japanese,4.5,"9631 Yonge Street, Richmond Hill",43.8626771952629,-79.4345868300318,100,4403.65111062025,+19055089631,False,$$
Super Bowl Pho Restaurant,Vietnamese,,Vietnamese,4.0,"10593 Yonge Street, Richmond Hill",43.8858200165319,-79.4399774819613,54,2511.7804066507138,+19055085885,False,N/A
Sansotei Ramen,Ramen,,,4.0,"9555 Yonge Street, Richmond Hill",43.8591218177243,-79.4341765518466,101,4734.723698950547,+19058840707,False,$$
BB Cafe,"Coffee & Tea, Bakeries, Persian/Iranian",Coffee & Tea,Persian/Iranian,4.0,"10067 Yonge Street, Richmond Hill",43.8729447,-79.4375542,109,3415.8045300626864,+19052376565,False,$$
ParsGrill,Persian/Iranian,,Persian/Iranian,4.5,"975 Major Mackenzie Dr, Vaughan",43.8643947,-79.469599,43,3202.3292495456863,+19055533353,False,$$
Andolini’s,"Italian, Bakeries, Breakfast & Brunch",,Italian,4.5,"14 Oxford Street, Richmond Hill",43.887127960905495,-79.44253868422565,14,2271.3748061299057,+19057706390,False,N/A
Grill Gate,Burgers,Burgers,,4.5,"10185 Yonge Street, Richmond Hill",43.8757695565005,-79.4379953294992,24,3189.232032431356,+19057371167,False,N/A
El Bocho,Mexican,,Mexican,3.5,"10133 Yonge Street, Richmond Hill",43.8747201582938,-79.4376493923211,75,3283.036807504161,+19052374345,False,N/A
Citro Italian Restaurant,Italian,,Italian,4.0,"10123 Yonge Street, Richmond Hill",43.87428,-79.4375,61,3309.4410722434354,+19052376800,False,$$
Mexican Amigos,Mexican,,Mexican,3.0,"10720 Yonge Street, Richmond Hill",43.8891480466306,-79.4420903921127,163,2250.2300706469,+19057800303,False,$$
Tomo Japanese Restaurant,"Japanese, Sushi Bars",Sushi Bars,Japanese,3.5,"9625 Yonge Street, Richmond Hill",43.8607832014079,-79.4341329959921,263,4590.375007114014,+19057702129,False,$$
Rhapsody Continental Hungarian Cuisine,Hungarian,,,4.0,"10152 Yonge Street, Richmond Hill",43.87489,-79.43846,50,3232.106532189397,+19058840305,False,$$
Stroganoff Restaurant,Modern European,,Modern European,4.0,"10 Headdon Gate, Richmond Hill",43.8671999,-79.45876,33,3012.6877743752484,+19057807575,False,N/A
Big Bone BBQ & Wicked Wings,"Chicken Wings, Barbeque, Southern",Barbeque,,4.0,"10040 Keele Street, Maple",43.85596,-79.51363,93,5450.385707203577,+12893049000,False,$$
Eagles Nest Golf Club,"American, Golf, Venues & Event Spaces",,American,4.0,"10000 Dufferin St, Maple",43.8636265,-79.4883169,19,3636.9175999915483,+19054172300,False,$$$$
Chillax & Co,"Breakfast & Brunch, Cocktail Bars, Bistros",Cocktail Bars,,4.0,"9580 Yonge Street, Richmond Hill",43.86121099118103,-79.43554637388071,24,4483.252398060328,+19057878666,False,N/A
Cafe Landwer - Rutherford & Bathurst,"Cafes, Breakfast & Brunch, Mediterranean",Cafes,Mediterranean,3.5,"9340 Bathurst Street, Maple",43.84917207670755,-79.46000632199099,281,4955.103063232714,+19054170707,False,$$
Crust Baking Company,"Bakeries, Coffee & Tea, Breakfast & Brunch",Coffee & Tea,,5.0,"9610 Yonge Street, Richmond Hill",43.8620216082624,-79.43542438295503,17,4418.137878743983,+12893797776,False,N/A
Yummy Korea,"Japanese, Korean, Soup",,"Japanese, Korean",4.0,"10231 Yonge Street, Richmond Hill",43.8770499,-79.4378,24,3097.3768007184713,+19057701777,False,$$
Unome Sushi,"Sushi Bars, Japanese",Sushi Bars,Japanese,4.5,"9301 Bathurst Street, Richmond Hill",43.84899,-79.4583,23,5036.142549738911,+19052373355,False,N/A
Pancer's Deli Emporium,"Delis, Fish & Chips, Sandwiches",Sandwiches,,4.0,"9960 Dufferin Street, Vaughan",43.8598981277762,-79.4890236854554,26,4016.207948195046,+19054171719,False,$$
Golden Bubbles,"Waffles, Ice Cream & Frozen Yogurt",,,3.5,"11000 Yonge Street, Richmond Hill",43.895702676664705,-79.44358536653279,52,2103.4658893265155,+19052372160,False,N/A
Fuwa Fuwa Japanese Pancakes,"Pancakes, Desserts, Coffee & Tea","Desserts, Coffee & Tea",,4.0,"9342 Bathurst St, Vaughan",43.84909,-79.45983,32,4981.213827649275,+19058326032,False,N/A
bb.q Chicken,"Korean, Chicken Shop, Chicken Wings",,Korean,4.0,"9737 Yonge St, Richmond Hill",43.8656547948595,-79.4348950311542,61,4137.187303586679,+19058836222,False,N/A
Sunnyside Grill,"Breakfast & Brunch, Burgers",Burgers,,3.5,"10620 Yonge Street, Richmond Hill",43.88605,-79.44184,31,2449.9156572857987,+19052371184,False,$$
Chicken N' Dough Express,"Chicken Wings, Burgers, Poutineries",Burgers,,4.5,"10737 Yonge Street, Richmond Hill",43.89032846235959,-79.44071774926019,9,2336.5974078410077,+19054752809,False,N/A
Sofra Mediterranean Cuisine,"Mediterranean, Turkish",,Mediterranean,3.0,"380 Tower Hill Road, Richmond Hill",43.9137233064844,-79.4738390740966,46,2307.8281856244867,+19057879797,False,$$
Tangerine Asian Cuisine,Asian Fusion,,Asian Fusion,3.5,"12260 Yonge Street, Richmond Hill",43.9262133,-79.4511635,60,3957.6305314442966,+19053138686,False,$
My Roti Place/My Dosa Place,"Indian, Breakfast & Brunch",,Indian,4.5,"1430 Major MacKenzie Dr W, Vaughan",43.8621955,-79.4857308,18,3688.1243803205625,N/A,False,N/A
Mr Congee Chinese Cuisine,Chinese,,Chinese,3.0,"9712 Yonge Street, Richmond Hill",43.8641999,-79.43632,148,4175.3308782991335,+19052376862,False,$$
Midori Ramen,Ramen,,,4.0,"9625 Yonge Street, Richmond Hill",43.860885663506,-79.43474801367815,25,4551.006855234316,+16477971988,False,N/A
Aira Sushi,Japanese,,Japanese,4.0,"10459 Yonge Street, Richmond Hill",43.88261,-79.43895,22,2723.9964958296077,+19052378108,False,N/A
Vivo Pizza + Pasta,Italian,,Italian,3.5,"9301 Bathurst Street, Richmond Hill",43.84899,-79.4583,68,5082.551251571049,+19058838486,False,$$
Odd Burger,"Burgers, Fast Food, Desserts","Burgers, Fast Food, Desserts",,4.0,"9960 Dufferin Street, Vaughan",43.85957128596049,-79.48893148452044,13,4046.9021597201345,+18002862145,False,N/A
Nando's Peri-Peri,"Portuguese, Chicken Shop, Fast Food",Fast Food,,3.0,"9625 Yonge Street, Richmond Hill",43.861421692954664,-79.43355169522985,122,4564.194320064769,+19055086500,False,$$
Duff's Famous Wings,Chicken Wings,,,3.0,"9360 Bathurst St, Vaughan",43.8496415,-79.4599289,105,4904.52252757554,+19058325005,False,$$
Akane Sushi Express,"Sushi Bars, Japanese",Sushi Bars,Japanese,4.5,"361 Carrville Road, Richmond Hill",43.85011458001848,-79.44476488977669,11,5187.549838734211,+19058819796,False,N/A
